roi_id,focal_cell_type,neighbor_cell_type,observed_proportion,expected_proportion,enrichment_score,log2_enrichment,p_value,n_focal_cells,p_value_fdr,significant_fdr
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_endothelial_cd140b,0.1076923076923077,0.04521739130434783,2.381656804733728,1.2519655367197953,0.000999000999000999,26,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_endothelial_cd44,0.3923076923076923,0.19304347826086957,2.0322245322245323,1.0230598084246727,0.000999000999000999,26,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_fibroblast_cd140b,0.023076923076923078,0.06608695652173913,0.34919028340080976,-1.517914679919146,0.02197802197802198,26,0.07380679022470069,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_fibroblast_cd44,0.023076923076923078,0.13217391304347825,0.17459514170040488,-2.517914679919146,0.000999000999000999,26,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_immune,0.0,0.0052173913043478265,0.0,,0.5754245754245755,26,0.8142800595630785,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_m2_cd140b,0.011538461538461539,0.02608695652173913,0.44230769230769235,-1.1768777620840791,0.3066933066933067,26,0.5750499500499501,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_m2_cd44,0.0038461538461538464,0.006956521739130435,0.5528846153846154,-0.8549496671967168,0.7852147852147852,26,0.9601811232246014,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_myeloid_cd140b,0.011538461538461539,0.036521739130434785,0.3159340659340659,-1.6623045892543211,0.1038961038961039,26,0.24843577475156423,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,activated_myeloid_cd44,0.007692307692307693,0.006956521739130435,1.1057692307692308,0.14505033280328314,1.0,26,1.0,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,endothelial,0.1576923076923077,0.04869565217391304,3.2383241758241756,1.6952474153637627,0.000999000999000999,26,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,fibroblast,0.057692307692307696,0.12347826086956522,0.4672264355362947,-1.0978061910928805,0.006993006993006993,26,0.032110746396460686,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,immune_cells,0.057692307692307696,0.06260869565217392,0.9214743589743589,-0.11798407303051085,0.8521478521478522,26,0.9816713898346552,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,m2_macrophage,0.011538461538461539,0.043478260869565216,0.2653846153846154,-1.9138433562502855,0.04795204795204795,26,0.13832321524629215,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,myeloid,0.06923076923076923,0.06260869565217392,1.1057692307692308,0.14505033280328314,0.7302697302697303,26,0.9128371628371629,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,neutrophil,0.06538461538461539,0.1408695652173913,0.46415004748338085,-1.1073368288310022,0.005994005994005994,26,0.028694709545773373,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_endothelial_cd140b,0.0936936936936937,0.04521739130434783,2.0720720720720722,1.0510741845942693,0.000999000999000999,111,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_endothelial_cd44,0.34954954954954953,0.19304347826086957,1.8107296485674862,0.8565711604312908,0.000999000999000999,111,0.006811370447734084,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_fibroblast_cd140b,0.03153153153153153,0.06608695652173913,0.47712185870080603,-1.0675703119043498,0.001998001998001998,111,0.011830274988169725,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_fibroblast_cd44,0.1063063063063063,0.13217391304347825,0.8042911332385017,-0.314210279487475,0.08091908091908091,111,0.20729270729270727,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_immune,0.0036036036036036037,0.0052173913043478265,0.6906906906906907,-0.5338883161268869,0.6803196803196803,111,0.8913052265653422,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_m2_cd140b,0.025225225225225224,0.02608695652173913,0.9669669669669669,-0.04846148895664521,0.9400599400599401,111,1.0,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_m2_cd44,0.0036036036036036037,0.006956521739130435,0.5180180180180181,-0.9489258154057306,0.3926073926073926,111,0.6641854386215288,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_myeloid_cd140b,0.01981981981981982,0.036521739130434785,0.5426855426855426,-0.881811619547194,0.052947052947052944,111,0.1507985685200875,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,activated_myeloid_cd44,0.008108108108108109,0.006956521739130435,1.1655405405405406,0.22099918603658167,0.8121878121878122,111,0.9708877509924629,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,endothelial,0.06756756756756757,0.04869565217391304,1.3875482625482627,0.4725379530325462,0.03896103896103896,111,0.12126031862873968,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,fibroblast,0.08018018018018018,0.12347826086956522,0.6493465296282198,-0.622939503944015,0.003996003996003996,111,0.020909323234904627,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,immune_cells,0.03783783783783784,0.06260869565217392,0.6043543543543544,-0.7265333940692827,0.02197802197802198,111,0.07380679022470069,False
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,m2_macrophage,0.02072072072072072,0.043478260869565216,0.4765765765765766,-1.0692200491234425,0.00999000999000999,111,0.03943424996056575,True
roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,myeloid,0.054954954954954956,0.06260869565217392,0.8777527527527527,-0.18811347928515698,0.5114885114885115,111,0.7801875543811028,False
