focal_cell_type,neighbor_cell_type,timepoint,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
immune_cells,activated_m2_cd140b,Sham,1.2728671527135111,0.3480818551209643,85,4,2,False,False
immune_cells,activated_m2_cd44,Sham,0.9551361513943568,-0.0662216958322414,134,6,2,False,False
immune_cells,activated_myeloid_cd140b,Sham,2.2382021770447675,1.1623403609996223,84,4,2,False,False
immune_cells,activated_myeloid_cd44,Sham,0.94628920684135,-0.0796469245247469,134,6,2,False,False
immune_cells,endothelial,Sham,0.8972279323459187,-0.1564535600297645,134,6,2,False,False
immune_cells,fibroblast,Sham,0.9598689181742326,-0.0590906932328528,134,6,2,False,False
immune_cells,immune_cells,Sham,1.082727190029457,0.1146697792602309,134,6,2,False,False
immune_cells,m2_macrophage,Sham,1.2223697677671006,0.2896807675047556,134,6,2,False,False
immune_cells,myeloid,Sham,1.1057997254485212,0.1450901186055434,106,5,2,False,False
immune_cells,neutrophil,Sham,0.9746788045254978,-0.0370012231657165,134,6,2,False,False
m2_macrophage,activated_endothelial_cd140b,Sham,0.7454239523956762,-0.4238669175602471,69,6,2,False,False
m2_macrophage,activated_endothelial_cd44,Sham,1.4861629732218071,0.571592331062724,69,6,2,False,False
m2_macrophage,activated_fibroblast_cd140b,Sham,1.0117840184610396,0.0169013564844507,69,6,2,False,False
m2_macrophage,activated_fibroblast_cd44,Sham,1.0201941741283682,0.0288437672863187,61,5,2,False,False
m2_macrophage,activated_immune,Sham,,,69,6,1,False,True
m2_macrophage,activated_m2_cd140b,Sham,2.8310471796751244,1.5013357920964214,46,4,2,False,False
m2_macrophage,activated_m2_cd44,Sham,1.0456420447350072,0.0643890574464101,69,6,2,False,False
m2_macrophage,activated_myeloid_cd140b,Sham,,,41,4,1,False,True
m2_macrophage,activated_myeloid_cd44,Sham,1.1110781461185968,0.1519602902219922,69,6,2,False,False
m2_macrophage,endothelial,Sham,0.8574604596327983,-0.2218579495575011,69,6,2,False,False
m2_macrophage,fibroblast,Sham,0.6155989756868967,-0.6999372637616288,69,6,2,False,False
m2_macrophage,immune_cells,Sham,1.1841655546608731,0.243870793966325,69,6,2,False,False
m2_macrophage,m2_macrophage,Sham,1.2155098237988444,0.2815615533325842,69,6,2,False,False
m2_macrophage,myeloid,Sham,1.3194576094123545,0.3999450015372657,61,5,2,False,False
m2_macrophage,neutrophil,Sham,1.0059187017766869,0.0085137114226626,69,6,2,False,False
myeloid,activated_endothelial_cd140b,Sham,1.1419814353830873,0.1915391977248761,65,5,2,False,False
myeloid,activated_endothelial_cd44,Sham,0.6755131223540503,-0.5659442996202929,65,5,2,False,False
myeloid,activated_fibroblast_cd140b,Sham,1.0095631286524258,0.0137311261683767,65,5,2,False,False
myeloid,activated_fibroblast_cd44,Sham,1.3358560114599711,0.4177645117433491,55,4,2,False,False
myeloid,activated_immune,Sham,,,65,5,1,False,True
myeloid,activated_m2_cd140b,Sham,3.3617765459232425,1.7492238331992491,42,3,2,False,False
myeloid,activated_m2_cd44,Sham,1.1179049800404146,0.1607975668480986,65,5,2,False,False
myeloid,activated_myeloid_cd140b,Sham,4.739210467196533,2.2446467321328516,29,3,2,False,False
myeloid,activated_myeloid_cd44,Sham,1.0457640912882964,0.0645574379004548,65,5,2,False,False
myeloid,endothelial,Sham,0.93837022437298,-0.0917708592606842,65,5,2,False,False
myeloid,fibroblast,Sham,0.8730367844924903,-0.1958856533042594,65,5,2,False,False
myeloid,immune_cells,Sham,1.1198994881283506,0.1633692550633479,65,5,2,False,False
myeloid,m2_macrophage,Sham,1.2329544770121204,0.3021195337218697,65,5,2,False,False
myeloid,myeloid,Sham,1.0899574056091812,0.1242717570966024,65,5,2,False,False
myeloid,neutrophil,Sham,0.8470245001346195,-0.2395243948558412,65,5,2,False,False
neutrophil,activated_endothelial_cd140b,Sham,0.8099983567463301,-0.304009113700378,702,6,2,False,False
neutrophil,activated_endothelial_cd44,Sham,0.8854953531328325,-0.1754433588077546,702,6,2,False,False
neutrophil,activated_fibroblast_cd140b,Sham,0.8241654774823174,-0.2789940613929089,702,6,2,False,False
neutrophil,activated_fibroblast_cd44,Sham,1.099489298227203,0.1368335619285048,611,5,2,False,False
neutrophil,activated_immune,Sham,0.867121677937638,-0.2056936425704538,702,6,2,False,False
neutrophil,activated_m2_cd140b,Sham,0.7377484700739017,-0.4387990710553372,468,4,2,False,False
neutrophil,activated_m2_cd44,Sham,1.003996673351491,0.0057544890623322,702,6,2,False,False
neutrophil,activated_myeloid_cd140b,Sham,0.6223934942906025,-0.6841011145821174,472,4,2,False,False
neutrophil,activated_myeloid_cd44,Sham,1.0247495131912026,0.0352713046184056,702,6,2,False,False
neutrophil,endothelial,Sham,0.8220104353675686,-0.2827713859469745,702,6,2,False,False
neutrophil,fibroblast,Sham,0.9737025567685922,-0.0384469646857408,702,6,2,False,False
neutrophil,immune_cells,Sham,0.9528152291328408,-0.0697316224716064,702,6,2,False,False
neutrophil,m2_macrophage,Sham,1.0534515660457522,0.0751239856959016,702,6,2,False,False
neutrophil,myeloid,Sham,0.7888133482701005,-0.3422441297332261,589,5,2,False,False
neutrophil,neutrophil,Sham,1.1088045655841596,0.1490051030026859,702,6,2,False,False
