mean_neighbor_lineage_immune,mean_self_lineage_immune,mean_neighbor_lineage_endothelial,mean_self_lineage_endothelial,mean_neighbor_lineage_stromal,mean_self_lineage_stromal,n_superpixels,roi_id,composite_label,timepoint,region
0.19673518085346767,0.029970985160149267,0.21437531491195783,0.05699686476961031,0.19110837262378125,0.027150324455261894,570,roi_IMC_241218_Alun_ROI_D1_M1_01_9,unassigned,D1,Medulla
0.617947330977401,0.7943653649872007,0.5604314675498424,0.6519318396277759,0.6063278760311648,0.7238624789625607,1027,roi_IMC_241218_Alun_ROI_D1_M1_01_9,mixed,D1,Medulla
0.4991192901675109,0.7026916133463542,0.2663282292661178,0.13516245090223084,0.21051884639789512,0.1181250680064969,23,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_non_myeloid_immune_cd140b,D1,Medulla
0.2680992172411082,0.043029073247002815,0.43523134965732463,0.5539930278311532,0.19979060144397864,0.02351713709249616,91,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b,D1,Medulla
0.26558370319323565,0.04102400991843051,0.40696992452898073,0.5109186978375398,0.18843575758216005,0.02338702045462899,122,roi_IMC_241218_Alun_ROI_D1_M1_01_9,endothelial,D1,Medulla
0.1904576090388987,0.03480670469833801,0.4952943796185236,0.6486092269290289,0.1975958794374213,0.04541001832057482,99,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd140b_cd44,D1,Medulla
0.27361370054186696,0.031637362518221614,0.24639277908208143,0.08831150726817909,0.5519887011126169,0.7712859944548757,60,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_stromal_cd140b,D1,Medulla
0.4930617233279456,0.6811183430637238,0.24250970279867096,0.10624728080136836,0.25268909032222736,0.15306785178269036,35,roi_IMC_241218_Alun_ROI_D1_M1_01_9,non_myeloid_immune,D1,Medulla
0.1999487621820205,0.03408140338667872,0.5020556400034897,0.6658278856288475,0.21514525671183443,0.044785460275211235,115,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_endothelial_cd44,D1,Medulla
0.26105510663869763,0.054384592199569134,0.23642791180870867,0.08039892759185707,0.6016517272286772,0.8150924598632425,73,roi_IMC_241218_Alun_ROI_D1_M1_01_9,stromal,D1,Medulla
0.4131689312925806,0.4396629459410836,0.5414601981962832,0.09651122170347054,0.9999009009495904,0.9999979789540187,1,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_neutrophil_cd140b,D1,Medulla
0.23916500041973565,0.04627584980444292,0.26933624249704613,0.11909713138029698,0.5440710690758406,0.8566537933935763,53,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_stromal_cd44,D1,Medulla
0.6265096178348462,0.8880964720446544,0.2717214336145358,0.19177775487000584,0.2115513482099786,0.07312232375839577,25,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_myeloid_cd140b,D1,Medulla
0.559676638714186,0.8641515315693072,0.2848676153656063,0.12203711680574719,0.24197751758413266,0.10287812534328643,38,roi_IMC_241218_Alun_ROI_D1_M1_01_9,myeloid,D1,Medulla
0.5776299842443733,0.833077048546477,0.29075274479917385,0.17707405753967545,0.1895749531431346,0.019174750044676187,13,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_m2_macrophage_cd140b,D1,Medulla
0.47869856664200217,0.8546734353426536,0.2814671833827241,0.19131523925152777,0.18497128121576045,0.08047430208793624,19,roi_IMC_241218_Alun_ROI_D1_M1_01_9,m2_macrophage,D1,Medulla
0.23835029982664355,0.06510263668414241,0.2887972040358313,0.14357943605639742,0.5756910203079936,0.8560029391553096,55,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_stromal_cd140b_cd44,D1,Medulla
0.5811198793098638,0.35366489071534457,0.406283984404357,0.14683514052440508,0.7402467074596346,0.5157033465615385,2,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_neutrophil_cd140b_cd44,D1,Medulla
0.5307405509996108,0.7883380875511383,0.3130023338348222,0.21629972282243412,0.3600824829258362,0.19243047793899473,6,roi_IMC_241218_Alun_ROI_D1_M1_01_9,activated_myeloid_cd140b_cd44,D1,Medulla
