focal_cell_type,neighbor_cell_type,region,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support
activated_fibroblast_cd44,m2_macrophage,Cortex,1.231410831346237,0.3003121634989811,37,11,2,False,False
activated_fibroblast_cd44,myeloid,Cortex,2.111427707152676,1.078218851772034,33,10,2,False,False
activated_fibroblast_cd44,neutrophil,Cortex,0.9097100492816306,-0.1365213046531618,37,11,2,False,False
activated_immune,activated_endothelial_cd140b,Cortex,1.2093791236351628,0.274266580440806,23,7,2,False,False
activated_immune,activated_endothelial_cd44,Cortex,1.6579257971085284,0.729379438354081,23,7,2,False,False
activated_immune,activated_fibroblast_cd140b,Cortex,1.718064622398609,0.7807843022858181,23,7,2,False,False
activated_immune,activated_fibroblast_cd44,Cortex,,,19,6,0,True,True
activated_immune,activated_immune,Cortex,2.986530441495574,1.5784704271440035,23,7,2,False,False
activated_immune,activated_m2_cd140b,Cortex,,,19,6,0,True,True
activated_immune,activated_m2_cd44,Cortex,0.7142641794768378,-0.4854703232526825,23,7,2,False,False
activated_immune,activated_myeloid_cd140b,Cortex,,,20,6,1,False,True
activated_immune,activated_myeloid_cd44,Cortex,1.9484482552810316,0.9623256185273764,23,7,2,False,False
activated_immune,endothelial,Cortex,0.7649448053723663,-0.3865724410537323,23,7,2,False,False
activated_immune,fibroblast,Cortex,1.417512164400802,0.5033611157286408,23,7,2,False,False
activated_immune,immune_cells,Cortex,1.6668039831378083,0.7370844527450703,23,7,2,False,False
activated_immune,m2_macrophage,Cortex,,,23,7,1,False,True
activated_immune,myeloid,Cortex,1.3829478173106426,0.4677467203875566,21,6,2,False,False
activated_immune,neutrophil,Cortex,1.0151593462602573,0.0217062003327399,23,7,2,False,False
activated_m2_cd140b,activated_endothelial_cd140b,Cortex,1.7750542498759685,0.8278631174798654,32,11,2,False,False
activated_m2_cd140b,activated_endothelial_cd44,Cortex,,,32,11,1,False,True
activated_m2_cd140b,activated_fibroblast_cd140b,Cortex,1.6129932677176646,0.6897404170114675,32,11,2,False,False
activated_m2_cd140b,activated_fibroblast_cd44,Cortex,2.461764677413396,1.299692859728666,31,10,2,False,False
activated_m2_cd140b,activated_immune,Cortex,,,9,6,0,True,True
activated_m2_cd140b,activated_m2_cd140b,Cortex,2.244065485670606,1.1661147768708304,32,11,2,False,False
activated_m2_cd140b,activated_m2_cd44,Cortex,1.2793674869423102,0.3554307250783707,32,11,2,False,False
activated_m2_cd140b,activated_myeloid_cd140b,Cortex,3.694266855703748,1.885288083292509,28,8,2,False,False
activated_m2_cd140b,activated_myeloid_cd44,Cortex,1.1149332028824397,0.1569572789734228,32,11,2,False,False
activated_m2_cd140b,endothelial,Cortex,0.8737221504949126,-0.1947535289294254,32,11,2,False,False
activated_m2_cd140b,fibroblast,Cortex,1.2448614068296775,0.3159851328078779,32,11,2,False,False
activated_m2_cd140b,immune_cells,Cortex,1.0721637018180326,0.1005251984919181,32,11,2,False,False
activated_m2_cd140b,m2_macrophage,Cortex,2.312779287721831,1.2096275938157,32,11,2,False,False
activated_m2_cd140b,myeloid,Cortex,2.7174021141196225,1.4422280676287915,31,10,2,False,False
activated_m2_cd140b,neutrophil,Cortex,1.0895233037152323,0.1236970544573521,32,11,2,False,False
activated_m2_cd44,activated_endothelial_cd140b,Cortex,0.5941923981442252,-0.750997946849313,159,12,2,False,False
activated_m2_cd44,activated_endothelial_cd44,Cortex,0.9049811287794468,-0.144040386338112,159,12,2,False,False
activated_m2_cd44,activated_fibroblast_cd140b,Cortex,0.6131821614438199,-0.7056123678366619,159,12,2,False,False
activated_m2_cd44,activated_fibroblast_cd44,Cortex,1.248580199221319,0.3202884919131921,152,11,2,False,False
activated_m2_cd44,activated_immune,Cortex,0.7142641794768378,-0.4854703232526825,103,7,2,False,False
activated_m2_cd44,activated_m2_cd140b,Cortex,1.0337650648218206,0.0479083536145618,142,11,2,False,False
