cell_type,comparison,timepoint_1,timepoint_2,n_mice_1,n_mice_2,mean_1,mean_2,std_1,std_2,fold_change,log2_fc,u_statistic,p_value_raw,hedges_g,bootstrap_range_min,bootstrap_range_max,p_value_fdr,significant_fdr,hedges_g_clr
subtype_myeloid,D3_vs_D7,D3,D7,2,2,0.03703791193296278,0.035006892261413916,0.009925328085676479,0.007931629591450322,0.9451652447235805,-0.0813615148633851,3.0,0.6666666666666666,0.1291839399115153,-0.5081306749248342,0.9219956272594098,0.9090909090909091,False,0.141056460909226
subtype_neutrophil,Sham_vs_D1,Sham,D1,2,2,0.1380060553402095,0.13228696218303443,0.028698095865840146,0.004237171904248441,0.9585594146395156,-0.06106023727748951,2.0,1.0,0.15931923066985265,-2.779492308850506,4.96100644546942,1.0,False,0.2733476320180492
subtype_neutrophil,Sham_vs_D3,Sham,D3,2,2,0.1380060553402095,0.11982426269207117,0.028698095865840146,0.0049170456606099375,0.8682546149302491,-0.20380992107465076,3.0,0.6666666666666666,0.504635373449518,-0.3469165744325286,6.323313094048122,0.9090909090909091,False,0.5278710929518843
subtype_neutrophil,Sham_vs_D7,Sham,D7,2,2,0.1380060553402095,0.15061347463744212,0.028698095865840146,0.007505016179473687,1.0913534403451572,0.1261184014382107,2.0,1.0,-0.3434669968419126,-3.5425966625791707,0.8275236759188196,1.0,False,-0.2836331848609195
subtype_neutrophil,D1_vs_D3,D1,D3,2,2,0.13228696218303443,0.11982426269207117,0.004237171904248441,0.0049170456606099375,0.9057911295532711,-0.1427496837971612,4.0,0.3333333333333333,1.551630740992641,1.551630740992641,3.0400282902859974,0.7142857142857142,False,0.7608802305584297
subtype_neutrophil,D1_vs_D7,D1,D7,2,2,0.13228696218303443,0.15061347463744212,0.004237171904248441,0.007505016179473687,1.1385349970774439,0.1871786387157001,0.0,0.3333333333333333,-1.7183992021731114,-4.507402497808907,-1.6507382751034931,0.7142857142857142,False,-6.677986110481158
subtype_neutrophil,D3_vs_D7,D3,D7,2,2,0.11982426269207117,0.15061347463744212,0.0049170456606099375,0.007505016179473687,1.2569509238172385,0.3299283225128616,0.0,0.3333333333333333,-2.77313206800079,-5.932428397149682,-2.77313206800079,0.7142857142857142,False,-2.2301670202989836
subtype_non_myeloid_immune,Sham_vs_D1,Sham,D1,2,2,0.17165237924075638,0.13904328649528566,0.016875931706997024,0.027472851966561553,0.8100294157347517,-0.3039537953294988,4.0,0.3333333333333333,0.8173197604724594,0.6081908381183924,2.491767547553357,0.7142857142857142,False,0.8905641814345755
subtype_non_myeloid_immune,Sham_vs_D3,Sham,D3,2,2,0.17165237924075638,0.16950786468126824,0.016875931706997024,0.0016431982086756497,0.9875067151664967,-0.018137536174093492,2.0,1.0,0.10220900493815199,-4.814002372820193,6.923339471810491,1.0,False,0.23737391424704074
subtype_non_myeloid_immune,Sham_vs_D7,Sham,D7,2,2,0.17165237924075638,0.143766402961192,0.016875931706997024,0.016346431409003413,0.8375448452986628,-0.2557616550470614,4.0,0.3333333333333333,0.9591623580517649,0.7818504007945861,1.9685435101163111,0.7142857142857142,False,0.9112484080804367
subtype_non_myeloid_immune,D1_vs_D3,D1,D3,2,2,0.13904328649528566,0.16950786468126824,0.027472851966561553,0.0016431982086756497,1.219099820308082,0.28581625915540504,0.0,0.3333333333333333,-0.8945259157908474,-24.536218015621802,-0.8619464248738609,0.7142857142857142,False,-0.8303909338796744
subtype_non_myeloid_immune,D1_vs_D7,D1,D7,2,2,0.13904328649528566,0.143766402961192,0.027472851966561553,0.016346431409003413,1.0339684325401353,0.04819214028243744,2.0,1.0,-0.11939549201374118,-1.193876911542498,0.7268814680111207,1.0,False,-0.18351457398643267
subtype_non_myeloid_immune,D3_vs_D7,D3,D7,2,2,0.16950786468126824,0.143766402961192,0.0016431982086756497,0.016346431409003413,0.8481409112822591,-0.23762411887296794,4.0,0.3333333333333333,1.2662047792010562,1.2151442442492197,18.34414146417473,0.7142857142857142,False,0.8550861752770652
subtype_none,Sham_vs_D1,Sham,D1,2,2,0.5542123385964803,0.5561979842788951,0.0011949375154692158,0.000952656234148483,1.0035828182833768,0.005159676587548229,0.0,0.3333333333333333,-1.0500145519548287,-2.4011447008394478,-0.8873008222342346,0.7142857142857142,False,1.3836378879672102
subtype_none,Sham_vs_D3,Sham,D3,2,2,0.5542123385964803,0.5578987181104671,0.0011949375154692158,0.00028592416597380513,1.0066515532147284,0.009564388962469464,0.0,0.3333333333333333,-2.4246104885993556,-12.807122972381267,-2.3563234418882164,0.7142857142857142,False,0.27184205377727405
subtype_none,Sham_vs_D7,Sham,D7,2,2,0.5542123385964803,0.5578201639896987,0.0011949375154692158,0.006191639036719626,1.0065098133551873,0.00936123843892987,1.0,0.6666666666666666,-0.46235542223623155,-5.40082018265834,0.520961339390158,0.9090909090909091,False,0.4322660679494496
subtype_none,D1_vs_D3,D1,D3,2,2,0.5561979842788951,0.5578987181104671,0.000952656234148483,0.00028592416597380513,1.0030577794631843,0.004404712374921111,0.0,0.3333333333333333,-1.381808508152464,-6.710784555274397,-1.2711985760927806,0.7142857142857142,False,-0.4403117257211032
subtype_none,D1_vs_D7,D1,D7,2,2,0.5561979842788951,0.5578201639896987,0.000952656234148483,0.006191639036719626,1.0029165456188431,0.004201561851381843,2.0,1.0,-0.2092616133748056,-5.089977313757509,2.337842549756069,1.0,False,-0.5565995065976815
subtype_none,D3_vs_D7,D3,D7,2,2,0.5578987181104671,0.5578201639896987,0.00028592416597380513,0.006191639036719626,0.9998591967010945,-0.0002031505235394197,2.0,1.0,0.010241833623910518,-12.152166717831694,12.596209744185945,1.0,False,0.022267750188843517
