k,scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20,10.0,Cortex,Sham,stromal,1.4456356395865708,0.5317039788448967,385,3,2,False,False,"[0.5862705516667771, 0.4771374060230163]"
20,10.0,Medulla,D1,endothelial,1.3519265251137755,0.4350167457514263,960,3,2,False,False,"[0.3762706921913837, 0.4937627993114689]"
20,10.0,Medulla,D1,endothelial+immune,1.447829021291815,0.5338912400600334,524,3,2,False,False,"[0.43825542258366074, 0.629527057536406]"
20,10.0,Medulla,D1,endothelial+immune+stromal,1.3105165828822674,0.3901356092105093,1861,3,2,False,False,"[0.5228893633797087, 0.25738185504130995]"
20,10.0,Medulla,D1,endothelial+stromal,1.320905005401347,0.4015267170281388,1119,3,2,False,False,"[0.4697018146353341, 0.3333516194209435]"
20,10.0,Medulla,D1,immune,1.5645317505329066,0.6457309368604398,373,3,2,False,False,"[0.9083440962869624, 0.38311777743391706]"
20,10.0,Medulla,D1,immune+stromal,2.096312457228819,1.0678537678764233,560,3,2,False,False,"[0.8899937375788635, 1.2457137981739832]"
20,10.0,Medulla,D1,none,1.4437345837762288,0.529805541487429,1428,3,2,False,False,"[0.6657696959947618, 0.3938413869800961]"
20,10.0,Medulla,D1,stromal,1.6443854361006955,0.7175484994917758,479,3,2,False,False,"[0.7994922312713065, 0.635604767712245]"
20,10.0,Medulla,D3,endothelial,1.4718865929849807,0.5576665178344313,989,3,2,False,False,"[0.5233545377101065, 0.5919784979587561]"
20,10.0,Medulla,D3,endothelial+immune,1.5963116345053459,0.6747423242841877,626,3,2,False,False,"[0.7218648772114059, 0.6276197713569696]"
20,10.0,Medulla,D3,endothelial+immune+stromal,1.1421628609533316,0.19176837919248524,2135,3,2,False,False,"[0.1851686039038616, 0.19836815448110887]"
20,10.0,Medulla,D3,endothelial+stromal,1.3624152399799636,0.44616647820935224,802,3,2,False,False,"[0.4017119128490105, 0.490621043569694]"
20,10.0,Medulla,D3,immune,2.0755971902986787,1.0535264880383906,367,3,2,False,False,"[0.8588155721710677, 1.2482374039057134]"
20,10.0,Medulla,D3,immune+stromal,1.9373110373273226,0.9540555987452624,584,3,2,False,False,"[0.7037443472825406, 1.204366850207984]"
20,10.0,Medulla,D3,none,1.3285476678656303,0.4098499921939548,1295,3,2,False,False,"[0.3206088455710724, 0.4990911388168372]"
20,10.0,Medulla,D3,stromal,1.916741251563086,0.93865559507496,409,3,2,False,False,"[0.5723911947372158, 1.3049199954127042]"
20,10.0,Medulla,D7,endothelial,1.823766175626411,0.8669207739718249,901,3,2,False,False,"[0.6888737737803825, 1.0449677741632672]"
20,10.0,Medulla,D7,endothelial+immune,1.8388327849315886,0.8787902936061447,1011,3,2,False,False,"[0.8544683159610656, 0.9031122712512238]"
20,10.0,Medulla,D7,endothelial+immune+stromal,1.2850587756607237,0.3618343465125762,2470,3,2,False,False,"[0.28692570717162513, 0.4367429858535272]"
20,10.0,Medulla,D7,endothelial+stromal,2.168940035037227,1.116990167187088,471,3,2,False,False,"[0.7150239943026324, 1.518956340071544]"
20,10.0,Medulla,D7,immune,2.1353469885695544,1.094470523247788,462,3,2,False,False,"[0.7438950983764665, 1.4450459481191098]"
20,10.0,Medulla,D7,immune+stromal,2.005269942177432,1.003796460134931,852,3,2,False,False,"[0.9278155469917957, 1.0797773732780662]"
20,10.0,Medulla,D7,none,1.681435921651435,0.7496937998117468,1011,3,2,False,False,"[0.5951680314046205, 0.9042195682188732]"
20,10.0,Medulla,D7,stromal,2.6990262473995603,1.432439006745134,249,3,2,False,False,"[0.9960732078525042, 1.8688048056377637]"
20,10.0,Medulla,Sham,endothelial,1.3080503468987683,0.3874180712819383,1081,3,2,False,False,"[0.5354142990285065, 0.23942184353537016]"
20,10.0,Medulla,Sham,endothelial+immune,1.3567985116597656,0.44020649245017895,535,3,2,False,False,"[0.6499136532984097, 0.2304993316019483]"
20,10.0,Medulla,Sham,endothelial+immune+stromal,1.4596720929317542,0.5456443122330397,1514,3,2,False,False,"[0.7824677559171318, 0.30882086854894747]"
20,10.0,Medulla,Sham,endothelial+stromal,1.315642219491836,0.3957672106971565,838,3,2,False,False,"[0.5022793225217208, 0.28925509887259215]"
20,10.0,Medulla,Sham,immune,1.6422430927857767,0.715667697638513,505,3,2,False,False,"[0.9906549168794125, 0.4406804783976136]"
