finding_type,finding,cell_type,markers,genes,hedges_g,p_value_fdr,aki_gene_association,aki_genes,indra_evidence_count,indra_max_belief,indra_statement_types,indra_context_tier,kidney_context_count,kidney_contexts,biological_context,enrichment_score,fraction_significant,shared_go_processes,mechanistic_narrative
neighborhood_enrichment,activated_immune_cd140b <-> m2_macrophage @ D7,activated_immune_cd140b | m2_macrophage,"CD140b, CD45 | CD11b","PDGFRB, PTPRC | ITGAM",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.3053628038317926,0.3333333333333333,,
neighborhood_enrichment,activated_immune_cd140b <-> m2_macrophage @ Sham,activated_immune_cd140b | m2_macrophage,"CD140b, CD45 | CD11b","PDGFRB, PTPRC | ITGAM",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.741702649083907,0.3333333333333333,,
neighborhood_enrichment,activated_immune_cd140b <-> neutrophil @ D1,activated_immune_cd140b | neutrophil,"CD140b, CD45 | Ly6G","PDGFRB, PTPRC | Ly6g",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.3748511924506033,0.3333333333333333,,
neighborhood_enrichment,activated_immune_cd140b <-> neutrophil @ D7,activated_immune_cd140b | neutrophil,"CD140b, CD45 | Ly6G","PDGFRB, PTPRC | Ly6g",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.178540976621471,0.3333333333333333,,
neighborhood_enrichment,activated_immune_cd140b <-> neutrophil @ Sham,activated_immune_cd140b | neutrophil,"CD140b, CD45 | Ly6G","PDGFRB, PTPRC | Ly6g",,,False,,5,0.376,Activation,low,5,nephrogenesis_genes; kidney_lineage_markers; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,,1.1516270509797293,0.6666666666666666,,
neighborhood_enrichment,activated_immune_cd44 <-> activated_fibroblast @ D3,activated_immune_cd44 | activated_fibroblast,"CD44, CD45 | CD140a","CD44, PTPRC | PDGFRA",,,True,CD44,2,0.83,"Activation, Complex",low,6,nephrogenesis_genes; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief complex despite single evidence,1.070863850664084,0.5,positive regulation of ERK1 and ERK2 cascade (GO:0070374); cell migration (GO:0016477),
neighborhood_enrichment,activated_immune_cd44 <-> activated_immune_cd140b @ D7,activated_immune_cd44 | activated_immune_cd140b,"CD44, CD45 | CD140b, CD45","CD44, PTPRC | PDGFRB, PTPRC",,,True,CD44,22,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount, Inhibition",medium,8,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD44 physically associates with PDGFRB — immune-stromal axis,1.3032090394273108,0.3333333333333333,positive regulation of ERK1 and ERK2 cascade (GO:0070374),
neighborhood_enrichment,activated_immune_cd44 <-> activated_immune_cd44 @ D1,activated_immune_cd44 | activated_immune_cd44,"CD44, CD45 | CD44, CD45","CD44, PTPRC | CD44, PTPRC",,,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,2.4146157583683734,1.0,,
neighborhood_enrichment,activated_immune_cd44 <-> activated_immune_cd44 @ D3,activated_immune_cd44 | activated_immune_cd44,"CD44, CD45 | CD44, CD45","CD44, PTPRC | CD44, PTPRC",,,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,1.9808650108739647,1.0,,
neighborhood_enrichment,activated_immune_cd44 <-> activated_immune_cd44 @ D7,activated_immune_cd44 | activated_immune_cd44,"CD44, CD45 | CD44, CD45","CD44, PTPRC | CD44, PTPRC",,,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,2.066076239612546,1.0,,
neighborhood_enrichment,activated_immune_cd44 <-> activated_immune_cd44 @ Sham,activated_immune_cd44 | activated_immune_cd44,"CD44, CD45 | CD44, CD45","CD44, PTPRC | CD44, PTPRC",,,True,CD44,17,0.766,"Activation, Complex, DecreaseAmount, IncreaseAmount",medium,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,High-belief CD45-CD44 complex — immune activation,1.977202202133837,1.0,,
neighborhood_enrichment,activated_immune_cd44 <-> m2_macrophage @ D1,activated_immune_cd44 | m2_macrophage,"CD44, CD45 | CD11b","CD44, PTPRC | ITGAM",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.030485397658316,0.1666666666666666,,
neighborhood_enrichment,activated_immune_cd44 <-> m2_macrophage @ D7,activated_immune_cd44 | m2_macrophage,"CD44, CD45 | CD11b","CD44, PTPRC | ITGAM",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.1189800104144294,0.5,,
neighborhood_enrichment,activated_immune_cd44 <-> neutrophil @ D1,activated_immune_cd44 | neutrophil,"CD44, CD45 | Ly6G","CD44, PTPRC | Ly6g",,,True,CD44,5,0.376,Activation,low,5,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex,,1.058734621539532,0.1666666666666666,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd140b @ D1,m2_macrophage | activated_immune_cd140b,"CD11b | CD140b, CD45","ITGAM | PDGFRB, PTPRC",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.770620605828034,0.6666666666666666,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd140b @ D3,m2_macrophage | activated_immune_cd140b,"CD11b | CD140b, CD45","ITGAM | PDGFRB, PTPRC",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.6913586783748074,0.3333333333333333,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd140b @ D7,m2_macrophage | activated_immune_cd140b,"CD11b | CD140b, CD45","ITGAM | PDGFRB, PTPRC",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.443974167608842,0.3333333333333333,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd140b @ Sham,m2_macrophage | activated_immune_cd140b,"CD11b | CD140b, CD45","ITGAM | PDGFRB, PTPRC",,,False,,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,7,nephrogenesis_genes; kidney_lineage_markers; neutrophil_degranulation; leukocyte_extravasation; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.8560219204360693,0.1666666666666666,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd44 @ D1,m2_macrophage | activated_immune_cd44,"CD11b | CD44, CD45","ITGAM | CD44, PTPRC",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.121408162815155,0.3333333333333333,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd44 @ D3,m2_macrophage | activated_immune_cd44,"CD11b | CD44, CD45","ITGAM | CD44, PTPRC",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.1004220316234297,0.1666666666666666,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd44 @ D7,m2_macrophage | activated_immune_cd44,"CD11b | CD44, CD45","ITGAM | CD44, PTPRC",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.3870675110354345,1.0,,
neighborhood_enrichment,m2_macrophage <-> activated_immune_cd44 @ Sham,m2_macrophage | activated_immune_cd44,"CD11b | CD44, CD45","ITGAM | CD44, PTPRC",,,True,CD44,35,0.526,"Activation, Complex, IncreaseAmount, Inhibition",medium,6,neutrophil_degranulation; leukocyte_extravasation; aki_direct; kidney_epithelium; metanephros_cortex; metanephric_glomerulus,CD11b activates CD45 — myeloid cell signaling,1.088244732081141,0.1666666666666666,,
