scale_um,region,timepoint,category,enrichment_score,log2_enrichment,n_focal_cells,n_rois,n_mice_effective,below_min_support,insufficient_support,mouse_values
20.0,Medulla,Sham,none,1.2783122394251638,0.3542402707532377,538,3,2,False,False,"[0.5319991478094384, 0.17648139369703703]"
20.0,Medulla,Sham,stromal,1.5988861900460825,0.6770672503256395,116,3,2,False,False,"[1.158970065808626, 0.1951644348426532]"
20.0,Pooled,D1,endothelial,1.169900353413597,0.22638565309222286,360,6,2,False,False,"[0.020902003544682635, 0.4318693026397631]"
20.0,Pooled,D1,endothelial+immune,1.130428410696083,0.17686963003367073,210,6,2,False,False,"[-0.18685334609525883, 0.5405926061626003]"
20.0,Pooled,D1,endothelial+immune+stromal,1.153735681419881,0.20631274323597681,1075,6,2,False,False,"[0.2625151224970251, 0.15011036397492852]"
20.0,Pooled,D1,endothelial+stromal,1.2883136078588304,0.36548382437688104,329,6,2,False,False,"[0.3159940194697464, 0.41497362928401565]"
20.0,Pooled,D1,immune,1.4244897169838022,0.5104452072637158,206,6,2,False,False,"[0.4564133260572003, 0.5644770884702314]"
20.0,Pooled,D1,immune+stromal,1.6347893761140413,0.7091047729650987,223,6,2,False,False,"[0.41552439577145833, 1.002685150158739]"
20.0,Pooled,D1,none,1.1032434888926088,0.14175123286108873,893,6,2,False,False,"[0.2421048032936998, 0.04139766242847768]"
20.0,Pooled,D1,stromal,1.1164995805207094,0.15898270912652543,197,6,2,False,False,"[0.26856122597237087, 0.04940419228067997]"
20.0,Pooled,D3,endothelial,1.2675130386704463,0.34200058804000877,392,6,2,False,False,"[0.35244617891306196, 0.3315549971669556]"
20.0,Pooled,D3,endothelial+immune,1.3816902734275447,0.466434250263493,283,6,2,False,False,"[0.7009550270010187, 0.23191347352596728]"
20.0,Pooled,D3,endothelial+immune+stromal,1.0291520483972663,0.04145614380979398,1293,6,2,False,False,"[0.04539424478658091, 0.03751804283300705]"
20.0,Pooled,D3,endothelial+stromal,1.4545976751699254,0.540620175607678,283,6,2,False,False,"[0.6739845612763556, 0.4072557899390005]"
20.0,Pooled,D3,immune,1.8368125966001472,0.8772044409580384,127,6,2,False,False,"[0.7000683924054938, 1.054340489510583]"
20.0,Pooled,D3,immune+stromal,1.3581030753947023,0.4415929793746028,226,6,2,False,False,"[0.6174836242857019, 0.26570233446350366]"
20.0,Pooled,D3,none,1.086237593018452,0.11933969870321973,615,6,2,False,False,"[0.2011203688770317, 0.03755902852940776]"
20.0,Pooled,D3,stromal,1.5505734513332208,0.6328018686556451,152,6,2,False,False,"[1.0055473367317542, 0.26005640057953605]"
20.0,Pooled,D7,endothelial,2.1023036576874556,1.071971067872721,403,6,2,False,False,"[0.7463099083774732, 1.3976322273679687]"
20.0,Pooled,D7,endothelial+immune,2.0191606605614982,1.0137557075855792,341,6,2,False,False,"[1.124301210766989, 0.9032102044041692]"
20.0,Pooled,D7,endothelial+immune+stromal,1.2070605839751376,0.2714980886919278,1608,6,2,False,False,"[0.18179539866233466, 0.361200778721521]"
20.0,Pooled,D7,endothelial+stromal,2.868224315634088,1.5201578575118893,225,6,2,False,False,"[1.3134993867614984, 1.7268163282622802]"
20.0,Pooled,D7,immune,1.842748050058571,0.8818588318048626,147,6,2,False,False,"[0.5862424313455977, 1.1774752322641275]"
20.0,Pooled,D7,immune+stromal,2.2873380029321178,1.193669570438241,372,6,2,False,False,"[1.3901098526003741, 0.9972292882761078]"
20.0,Pooled,D7,none,1.597967621148524,0.6762381759243938,430,6,2,False,False,"[0.514768107106466, 0.8377082447423215]"
20.0,Pooled,D7,stromal,3.537308554944364,1.822652068988661,75,6,2,False,False,"[1.7247333438767638, 1.920570794100558]"
20.0,Pooled,Sham,endothelial,1.1990676408409244,0.26191304520189906,442,6,2,False,False,"[0.16171249148587233, 0.36211359891792577]"
20.0,Pooled,Sham,endothelial+immune,1.2162535848009193,0.2824440572299324,246,6,2,False,False,"[0.4468982286127945, 0.11798988584707022]"
20.0,Pooled,Sham,endothelial+immune+stromal,1.210154632680483,0.27519140580374296,863,6,2,False,False,"[0.3271802351139653, 0.22320257649352057]"
20.0,Pooled,Sham,endothelial+stromal,1.49487721013953,0.5800269856955595,257,6,2,False,False,"[0.7186012615984562, 0.4414527097926628]"
