compartment,timepoint,mouse,region,cd44_rate,n_support
endothelial_cd31cd34,D7,MS1,cortex,0.6965666061885281,2334
endothelial_cd31cd34,D7,MS2,cortex,0.8071428571428572,700
endothelial_cd31cd34,Sham,MS1,cortex,0.5713744588744589,650
endothelial_cd31cd34,Sham,MS2,cortex,0.528604118993135,437
neutrophil,D1,MS1,cortex,0.25041578120668945,295
neutrophil,D1,MS2,cortex,0.5934065934065934,91
neutrophil,D3,MS1,cortex,0.8901098901098901,91
neutrophil,D3,MS2,cortex,0.625,324
neutrophil,D7,MS1,cortex,0.9705882352941176,329
neutrophil,D7,MS2,cortex,1.0,201
neutrophil,Sham,MS1,cortex,0.34350256171401955,246
neutrophil,Sham,MS2,cortex,0.35555555555555557,135
CD45,D1,MS1,medulla,0.5856873822975518,531
CD45,D1,MS2,medulla,0.6429880348011625,1319
CD45,D3,MS1,medulla,0.6006781904688818,1449
CD45,D3,MS2,medulla,0.8649193548387096,992
CD45,D7,MS1,medulla,0.5470653377630121,903
CD45,D7,MS2,medulla,0.3836925960637301,2720
CD45,Sham,MS1,medulla,0.5710982658959538,865
CD45,Sham,MS2,medulla,0.48802464326422257,912
CD206,D1,MS1,medulla,0.42655935613682094,497
CD206,D1,MS2,medulla,0.4605329007163247,2204
CD206,D3,MS1,medulla,0.48427464008859356,1953
CD206,D3,MS2,medulla,0.7411376751854906,1213
CD206,D7,MS1,medulla,0.3674164962508521,1467
CD206,D7,MS2,medulla,0.37080616112223713,1630
CD206,Sham,MS1,medulla,0.5068912710566615,653
CD206,Sham,MS2,medulla,0.3154671010214123,802
CD31,D1,MS1,medulla,0.4337152209492635,611
CD31,D1,MS2,medulla,0.5303166776945352,1678
CD31,D3,MS1,medulla,0.4015263334061653,1861
CD31,D3,MS2,medulla,0.6859504132231405,1089
CD31,D7,MS1,medulla,0.3123425692695214,1191
CD31,D7,MS2,medulla,0.31011453931807914,2312
CD31,Sham,MS1,medulla,0.6171171171171171,444
CD31,Sham,MS2,medulla,0.3647900841297068,1329
CD34,D1,MS1,medulla,0.36980306345733044,914
CD34,D1,MS2,medulla,0.4704267192262702,2121
CD34,D3,MS1,medulla,0.38833993711077586,1981
CD34,D3,MS2,medulla,0.6751085383502171,1382
CD34,D7,MS1,medulla,0.33083956774729845,1203
CD34,D7,MS2,medulla,0.3265033121101035,2160
CD34,Sham,MS1,medulla,0.5089058524173028,786
CD34,Sham,MS2,medulla,0.3320849538011841,1137
CD140b,D1,MS1,medulla,0.5235294117647059,680
CD140b,D1,MS2,medulla,0.5925063775510204,2162
CD140b,D3,MS1,medulla,0.5823772126003364,1896
CD140b,D3,MS2,medulla,0.772391125718981,1217
CD140b,D7,MS1,medulla,0.4935960591133005,1015
CD140b,D7,MS2,medulla,0.5437183090269186,1596
CD140b,Sham,MS1,medulla,0.6066066066066066,666
CD140b,Sham,MS2,medulla,0.5698551186842225,843
endothelial_cd31cd34,D1,MS1,medulla,0.4602587800369686,541
endothelial_cd31cd34,D1,MS2,medulla,0.5457671266398729,1403
endothelial_cd31cd34,D3,MS1,medulla,0.4139237966841607,1579
endothelial_cd31cd34,D3,MS2,medulla,0.7012987012987013,1001
endothelial_cd31cd34,D7,MS1,medulla,0.33462657613967023,1031
endothelial_cd31cd34,D7,MS2,medulla,0.34067732439306103,1715
endothelial_cd31cd34,Sham,MS1,medulla,0.6522781774580336,417
endothelial_cd31cd34,Sham,MS2,medulla,0.43136200716845874,670
neutrophil,D1,MS1,medulla,0.2956521739130435,115
neutrophil,D1,MS2,medulla,0.502127659574468,226
neutrophil,D3,MS1,medulla,0.5757575757575757,330
neutrophil,D3,MS2,medulla,0.8833333333333333,120
neutrophil,D7,MS1,medulla,0.61,200
neutrophil,D7,MS2,medulla,0.6565011820330969,276
neutrophil,Sham,MS1,medulla,0.42857142857142855,91
neutrophil,Sham,MS2,medulla,0.21944637211812784,230
CD45,D1,MS1,pooled,0.6418700602366618,1584
CD45,D1,MS2,pooled,0.704992479197127,2050
CD45,D3,MS1,pooled,0.6719734366038664,2630
CD45,D3,MS2,pooled,0.7620524833589349,2442
CD45,D7,MS1,pooled,0.801465662531554,3309
CD45,D7,MS2,pooled,0.5592685558157957,4361
CD45,Sham,MS1,pooled,0.6172303848390668,2074
CD45,Sham,MS2,pooled,0.5629992681563876,1553
CD206,D1,MS1,pooled,0.4305319443137436,2253
CD206,D1,MS2,pooled,0.48942618106154673,3083
CD206,D3,MS1,pooled,0.5775131826056966,2775
CD206,D3,MS2,pooled,0.6187533466402861,3348
CD206,D7,MS1,pooled,0.6882634046988106,4015
CD206,D7,MS2,pooled,0.5513472335918492,3046
CD206,Sham,MS1,pooled,0.45112778542094567,1901
CD206,Sham,MS2,pooled,0.34479539924261005,1729
CD31,D1,MS1,pooled,0.5122289014315262,2247
CD31,D1,MS2,pooled,0.5606555629074679,2428
CD31,D3,MS1,pooled,0.4874074056617803,3017
CD31,D3,MS2,pooled,0.5676566832658972,3386
CD31,D7,MS1,pooled,0.5670905350857937,3721
CD31,D7,MS2,pooled,0.47687014485612056,3256
CD31,Sham,MS1,pooled,0.5399334318838963,1667
CD31,Sham,MS2,pooled,0.4238978304611522,1982
CD34,D1,MS1,pooled,0.44220204987899225,2717
CD34,D1,MS2,pooled,0.4974435364820912,3238
CD34,D3,MS1,pooled,0.4817715201894717,3336
CD34,D3,MS2,pooled,0.5546369255706423,3997
CD34,D7,MS1,pooled,0.565494546200313,4056
CD34,D7,MS2,pooled,0.4689448857333945,3009
CD34,Sham,MS1,pooled,0.471344256879693,1826
CD34,Sham,MS2,pooled,0.3639602503252874,1801
CD140b,D1,MS1,pooled,0.5614213701227116,2700
CD140b,D1,MS2,pooled,0.6073779890744176,3482
CD140b,D3,MS1,pooled,0.6261199557925144,3366
CD140b,D3,MS2,pooled,0.705496400634054,3405
CD140b,D7,MS1,pooled,0.7154029879204445,4109
CD140b,D7,MS2,pooled,0.6506372732997604,3330
CD140b,Sham,MS1,pooled,0.6067527445070525,1858
CD140b,Sham,MS2,pooled,0.5764662481167283,1774
endothelial_cd31cd34,D1,MS1,pooled,0.5235494634755263,1815
endothelial_cd31cd34,D1,MS2,pooled,0.5746665989748209,2056
endothelial_cd31cd34,D3,MS1,pooled,0.5006286849689277,2619
endothelial_cd31cd34,D3,MS2,pooled,0.5809981382411289,3114
endothelial_cd31cd34,D7,MS1,pooled,0.5759199295055755,3365
endothelial_cd31cd34,D7,MS2,pooled,0.4961658353096598,2415
endothelial_cd31cd34,Sham,MS1,pooled,0.5983423650689838,1067
endothelial_cd31cd34,Sham,MS2,pooled,0.4637760444433508,1107
neutrophil,D1,MS1,pooled,0.2654945787754741,410
neutrophil,D1,MS2,pooled,0.5325539708518432,317
neutrophil,D3,MS1,pooled,0.6805416805416805,421
neutrophil,D3,MS2,pooled,0.7111111111111111,444
neutrophil,D7,MS1,pooled,0.8503921568627452,529
neutrophil,D7,MS2,pooled,0.7710007880220647,477
neutrophil,Sham,MS1,pooled,0.3718588506664892,337
neutrophil,Sham,MS2,pooled,0.26481609993060373,365
