compartment,timepoint,mouse,region,cd44_rate,n_support
CD45,D1,MS1,cortex,0.6699613992062168,1053
CD45,D1,MS2,cortex,0.8290013679890561,731
CD45,D3,MS1,cortex,0.8145639288738358,1181
CD45,D3,MS2,cortex,0.7106190476190476,1450
CD45,D7,MS1,cortex,0.928665824915825,2406
CD45,D7,MS2,cortex,0.9104204753199269,1641
CD45,Sham,MS1,cortex,0.6402964443106233,1209
CD45,Sham,MS2,cortex,0.7129485179407177,641
CD206,D1,MS1,cortex,0.43251823840220494,1756
CD206,D1,MS2,cortex,0.5472127417519909,879
CD206,D3,MS1,cortex,0.7639902676399026,822
CD206,D3,MS2,cortex,0.5575611823676839,2135
CD206,D7,MS1,cortex,0.84868685892279,2548
CD206,D7,MS2,cortex,0.9124293785310734,1416
CD206,Sham,MS1,cortex,0.42324604260308774,1248
CD206,Sham,MS2,cortex,0.4034519956850054,927
CD31,D1,MS1,cortex,0.5514857416726575,1636
CD31,D1,MS2,cortex,0.6213333333333333,750
CD31,D3,MS1,cortex,0.6591695501730104,1156
CD31,D3,MS2,cortex,0.5085098182872756,2297
CD31,D7,MS1,cortex,0.6944645179939297,2530
CD31,D7,MS2,cortex,0.8103813559322034,944
CD31,Sham,MS1,cortex,0.5013415892672859,1223
CD31,Sham,MS2,cortex,0.5421133231240429,653
CD34,D1,MS1,cortex,0.4784015430898232,1803
CD34,D1,MS2,cortex,0.5514771709937332,1117
CD34,D3,MS1,cortex,0.6686346863468635,1355
CD34,D3,MS2,cortex,0.4944011191808549,2615
CD34,D7,MS1,cortex,0.6828220354268204,2853
CD34,D7,MS2,cortex,0.7538280329799765,849
CD34,Sham,MS1,cortex,0.452563459110888,1040
CD34,Sham,MS2,cortex,0.42771084337349397,664
CD140b,D1,MS1,cortex,0.5803673493017145,2020
CD140b,D1,MS2,cortex,0.6371212121212121,1320
CD140b,D3,MS1,cortex,0.7136054421768707,1470
CD140b,D3,MS2,cortex,0.6720490380915904,2188
CD140b,D7,MS1,cortex,0.8263064523240166,3094
CD140b,D7,MS2,cortex,0.864475201845444,1734
CD140b,Sham,MS1,cortex,0.6068258134572755,1192
CD140b,Sham,MS2,cortex,0.58968850698174,931
endothelial_cd31cd34,D1,MS1,cortex,0.5551948051948052,1274
endothelial_cd31cd34,D1,MS2,cortex,0.6324655436447167,653
endothelial_cd31cd34,D3,MS1,cortex,0.6740384615384616,1040
endothelial_cd31cd34,D3,MS2,cortex,0.5208478567123427,2113
