compartment,timepoint,mouse,region,cd44_rate,n_support
CD31,D7,MS1,pooled,0.5548964483439242,1207
CD31,D7,MS2,pooled,0.542459572302126,848
CD31,Sham,MS1,pooled,0.5495123092613007,415
CD31,Sham,MS2,pooled,0.44134984571172825,457
CD34,D1,MS1,pooled,0.5159417028659388,606
CD34,D1,MS2,pooled,0.5656411717805572,601
CD34,D3,MS1,pooled,0.4349101951332434,624
CD34,D3,MS2,pooled,0.5889132553606238,904
CD34,D7,MS1,pooled,0.5635357639228551,1083
CD34,D7,MS2,pooled,0.5285775531117146,719
CD34,Sham,MS1,pooled,0.5014367130676488,496
CD34,Sham,MS2,pooled,0.3963476626684193,392
CD140b,D1,MS1,pooled,0.5881422644815503,711
CD140b,D1,MS2,pooled,0.6151410290589175,860
CD140b,D3,MS1,pooled,0.5569078742122668,723
CD140b,D3,MS2,pooled,0.6653306881080309,947
CD140b,D7,MS1,pooled,0.687586117813436,1056
CD140b,D7,MS2,pooled,0.7003677249925806,889
CD140b,Sham,MS1,pooled,0.6479383453712114,451
CD140b,Sham,MS2,pooled,0.6135037830295565,417
endothelial_cd31cd34,D1,MS1,pooled,0.6162225533777868,408
endothelial_cd31cd34,D1,MS2,pooled,0.6208991561688658,475
endothelial_cd31cd34,D3,MS1,pooled,0.4730629954802585,522
endothelial_cd31cd34,D3,MS2,pooled,0.6043134221458244,790
endothelial_cd31cd34,D7,MS1,pooled,0.5628018901488289,1025
endothelial_cd31cd34,D7,MS2,pooled,0.5657058352606298,570
endothelial_cd31cd34,Sham,MS1,pooled,0.6399254622276205,291
endothelial_cd31cd34,Sham,MS2,pooled,0.5055012545406883,243
