compartment,timepoint,mouse,region,cd44_rate,n_support
CD45,D1,MS1,cortex,0.8,60
CD45,D1,MS2,cortex,0.9833333333333333,60
CD45,D3,MS1,cortex,0.6333333333333333,60
CD45,D3,MS2,cortex,0.8235294117647058,82
CD45,D7,MS1,cortex,0.8675574308485701,133
CD45,D7,MS2,cortex,0.9529411764705882,85
CD45,Sham,MS1,cortex,0.7013888888888888,77
CD45,Sham,MS2,cortex,0.8148148148148148,27
CD206,D1,MS1,cortex,0.5677884615384616,132
CD206,D1,MS2,cortex,0.8658536585365854,82
CD206,D3,MS1,cortex,0.6470588235294118,51
CD206,D3,MS2,cortex,0.6336842105263157,132
CD206,D7,MS1,cortex,0.7606992163954189,163
CD206,D7,MS2,cortex,0.8865979381443299,97
CD206,Sham,MS1,cortex,0.5676638176638177,93
CD206,Sham,MS2,cortex,0.6470588235294118,34
CD31,D1,MS1,cortex,0.7308184143222507,80
CD31,D1,MS2,cortex,0.8493150684931506,73
CD31,D3,MS1,cortex,0.6,50
CD31,D3,MS2,cortex,0.684469696969697,106
CD31,D7,MS1,cortex,0.627895752895753,130
CD31,D7,MS2,cortex,0.8541666666666666,48
CD31,Sham,MS1,cortex,0.6962962962962963,62
CD31,Sham,MS2,cortex,0.5555555555555556,45
CD34,D1,MS1,cortex,0.6403225806451613,92
CD34,D1,MS2,cortex,0.8571428571428571,63
CD34,D3,MS1,cortex,0.6792452830188679,53
CD34,D3,MS2,cortex,0.7265745007680491,94
CD34,D7,MS1,cortex,0.6147169811320754,103
CD34,D7,MS2,cortex,0.8666666666666667,15
CD34,Sham,MS1,cortex,0.5914502164502164,65
CD34,Sham,MS2,cortex,0.43902439024390244,41
CD140b,D1,MS1,cortex,0.6233870967741936,122
CD140b,D1,MS2,cortex,0.8333333333333334,90
CD140b,D3,MS1,cortex,0.5797101449275363,69
CD140b,D3,MS2,cortex,0.6971544715447155,131
CD140b,D7,MS1,cortex,0.7281698564593302,164
CD140b,D7,MS2,cortex,0.8888888888888888,81
CD140b,Sham,MS1,cortex,0.6525719267654752,68
CD140b,Sham,MS2,cortex,0.56,50
endothelial_cd31cd34,D1,MS1,cortex,0.7268181818181818,69
endothelial_cd31cd34,D1,MS2,cortex,0.8548387096774194,62
endothelial_cd31cd34,D3,MS1,cortex,0.6363636363636364,44
endothelial_cd31cd34,D3,MS2,cortex,0.7605820105820106,83
endothelial_cd31cd34,D7,MS1,cortex,0.6580446131941149,92
endothelial_cd31cd34,D7,MS2,cortex,1.0,13
endothelial_cd31cd34,Sham,MS1,cortex,0.7367788461538461,45
endothelial_cd31cd34,Sham,MS2,cortex,0.5,34
CD45,D1,MS1,medulla,0.6363636363636364,22
CD45,D1,MS2,medulla,0.7738095238095238,68
CD45,D3,MS1,medulla,0.375,56
CD45,D3,MS2,medulla,0.6521739130434783,69
CD45,D7,MS1,medulla,0.3870967741935484,31
CD45,D7,MS2,medulla,0.6182728410513141,81
CD45,Sham,MS1,medulla,0.8,50
CD45,Sham,MS2,medulla,0.4583333333333333,25
CD206,D1,MS1,medulla,0.5789473684210527,19
CD206,D1,MS2,medulla,0.5705705705705706,110
CD206,D3,MS1,medulla,0.22351694915254236,131
CD206,D3,MS2,medulla,0.660377358490566,53
CD206,D7,MS1,medulla,0.16091954022988506,87
CD206,D7,MS2,medulla,0.3993055555555556,34
CD206,Sham,MS1,medulla,0.84,25
CD206,Sham,MS2,medulla,0.045454545454545456,19
CD31,D1,MS1,medulla,0.5625,16
CD31,D1,MS2,medulla,0.7081575246132208,88
CD31,D3,MS1,medulla,0.2822124450031427,80
CD31,D3,MS2,medulla,0.5540540540540541,74
CD31,D7,MS1,medulla,0.1794871794871795,78
CD31,D7,MS2,medulla,0.4520460358056266,114
CD31,Sham,MS1,medulla,0.8,30
