endpoint,contrast,g_at_pct50,g_at_pct60,g_at_pct70,g_neut_at_pct50,g_neut_at_pct60,g_neut_at_pct70,continuous_sham_sign_mixed,continuous_sham_rel_range
endothelial+immune+stromal_clr,D1_vs_D3,1.0240338041589665,1.0719619615956262,1.3094087669495762,0.4805232510713532,0.5000667363912816,0.5913370283548899,False,0.21794184520042942
endothelial+immune+stromal_clr,D1_vs_D7,3.9903732718640033,5.267048029982164,5.443580372986692,0.9999970969625127,0.9632980148137112,0.9543325213193699,False,0.2669579580994351
endothelial+immune+stromal_clr,D3_vs_D7,1.5057624683514268,1.2596403173073036,1.0883536160486,0.6594344076653734,0.5729969881632448,0.5066671733815419,False,0.2772076347206501
endothelial+immune+stromal_clr,Sham_vs_D1,0.9738181550578467,0.9615197449627707,0.8768147694091788,0.45966469912479213,0.4544978445317136,0.41830759646134635,False,0.09961139576711399
endothelial+immune+stromal_clr,Sham_vs_D3,1.7146328110840294,1.5757890961805008,1.620811789395444,0.7242390362640057,0.6820449534412366,0.6961117107152427,False,0.08097577160893622
endothelial+immune+stromal_clr,Sham_vs_D7,3.9378681087146647,3.3973135061645956,3.0534900681981125,0.9998774749808784,0.9868116167584307,0.9646229635948322,False,0.2245829510032058
endothelial+immune_clr,D1_vs_D3,0.7768099878565378,0.6695225233228463,1.165216151647126,0.37428883649713834,0.32563809505198404,0.5370362323894292,False,0.42540916346171237
endothelial+immune_clr,D1_vs_D7,0.6425496780519943,0.8497819992102544,1.1291975786565378,0.3131930854637524,0.40654248106148383,0.5229253282195,False,0.43096789242457695
endothelial+immune_clr,D3_vs_D7,0.4629301936958282,0.5796824425441393,0.5651135023749747,0.2284058240411165,0.2838791951319589,0.2770274007827063,False,0.20140725383350053
endothelial+immune_clr,Sham_vs_D1,0.2530638224203587,0.6787930099841404,0.5436956163716974,0.12602747601174621,0.3298963168307467,0.26691644473809145,False,0.6271855798481611
endothelial+immune_clr,Sham_vs_D3,0.7663717802801947,2.024029542336452,1.493190134048842,0.36961800540083817,0.8057163560838435,0.6552809759468855,False,0.621363342653819
endothelial+immune_clr,Sham_vs_D7,0.7240561046854893,1.168753488320733,1.3398706108645382,0.3505421606790551,0.538410465011098,0.6023496678583168,False,0.4596074435737498
endothelial+stromal_clr,D1_vs_D3,-0.46920294294935844,-0.4581334300189003,-0.36483458780745953,-0.23141729387358612,-0.22610075024307097,-0.18091228150792008,False,
endothelial+stromal_clr,D1_vs_D7,-1.0287580567096033,-0.9245978854801785,-1.008432510754423,-0.4824656408008643,-0.43885109448125564,-0.4740841726735483,False,0.10124846221138951
endothelial+stromal_clr,D3_vs_D7,-0.7871670252929341,-0.6979881629716849,-0.7931333049558168,-0.3789094867138585,-0.33868149507130013,-0.38156493944789427,False,0.11996109782507772
endothelial+stromal_clr,Sham_vs_D1,0.9377899477932473,1.0315207322873088,1.1992519648067945,0.4444646945538845,0.4835999133895279,0.5501721976032431,False,0.21802092027897577
endothelial+stromal_clr,Sham_vs_D3,0.4376166387693158,0.457122390810727,0.6720006369498311,0.2162203199613941,0.22561465559198077,0.3267773374197476,False,0.34878538098471107
endothelial+stromal_clr,Sham_vs_D7,-0.5488579787769834,-0.4784082983764379,-0.43123866088184215,-0.26935757412600614,-0.23583067248576062,-0.21314199722410532,False,0.2142982746779624
endothelial_clr,D1_vs_D3,0.24340468630350096,0.13388486921365858,0.14023593294617892,0.12125335832511418,0.06686752142556139,0.07003188801710686,False,
endothelial_clr,D1_vs_D7,-0.14935131358723416,-0.3807181571583167,-0.34195254777769224,-0.07457169539161927,-0.1886500702948101,-0.16973580700488972,False,
endothelial_clr,D3_vs_D7,-0.4077032999782686,-0.4976130959523065,-0.41933968870370836,-0.20175563614660247,-0.24501465834913957,-0.20739054738723695,False,
endothelial_clr,Sham_vs_D1,0.08645832536409546,0.27825605736003745,0.34016558451312495,0.04320897587514062,0.13845800931471428,0.16886157872426413,False,
endothelial_clr,Sham_vs_D3,0.28230174016467263,0.35903183455453186,0.41369176757815607,0.14045129733466333,0.1780812076061689,0.20465681212465928,False,
endothelial_clr,Sham_vs_D7,-0.043162840228780676,-0.007412707901096178,0.02329175775305174,-0.02157890747884291,-0.0037063412219905164,0.011645484017481465,True,
immune+stromal_clr,D1_vs_D3,0.6666703766528553,0.8613135898135433,1.4326346677597421,0.32432603162178536,0.411573640311075,0.6348768373904533,False,0.5346543039508114
immune+stromal_clr,D1_vs_D7,1.8502243857395686,1.9119183540585687,1.7624204212178949,0.7620626779434372,0.7781740433826497,0.7379498889926351,False,0.07819263438908028
immune+stromal_clr,D3_vs_D7,1.255649797215722,1.3298611771050612,1.365354393591008,0.5715079217316045,0.5987489661528823,0.6114373809672893,False,0.08034880679348962
immune+stromal_clr,Sham_vs_D1,-1.3847022462977534,-1.3512066162970104,-1.4488302448678418,-0.6182603378929769,-0.6064063099008382,-0.6403984808703809,False,0.06738099851010243
immune+stromal_clr,Sham_vs_D3,-0.532555330719035,-0.3865929384581827,-0.5627891599198548,-0.2616398507692896,-0.19150761929797203,-0.2759322993784501,False,0.313076786139171
immune+stromal_clr,Sham_vs_D7,0.8592362533555666,1.0693287379168221,1.0596732415613759,0.4106686694918219,0.49900241447218846,0.4950903339550107,False,0.1964713722840184
immune_clr,D1_vs_D3,-1.615879522140578,-0.9729401371619926,-0.697861686093691,-0.6945886785573094,-0.4592965757889938,-0.3386237512345474,False,0.5681226994143573
immune_clr,D1_vs_D7,-0.617293379677933,-0.2071945323191946,0.07526096451859446,-0.30146704276020836,-0.10332004830444688,0.03761716528252531,True,1.1219209001688324
immune_clr,D3_vs_D7,0.3498388391896612,0.2958033400823787,0.5176610665718198,0.1735915827148845,0.14709723556449392,0.25456696649948585,False,0.42857719232910624
immune_clr,Sham_vs_D1,-0.9213755028108258,-1.4122160102163412,-3.3101182221222927,-0.43747601717367,-0.62784849316439,-0.9823445138770112,False,0.721648762677702
immune_clr,Sham_vs_D3,-2.4228322607397654,-2.2522728599640582,-1.5021219229486529,-0.8862622375141271,-0.8550472712372451,-0.6582346438499217,False,0.38001406564975787
immune_clr,Sham_vs_D7,-1.2000266623330162,-0.8027942710877031,-0.5916681638610709,-0.5504689262607126,-0.38585493165372303,-0.28949998127346865,False,0.5069541515762767
none_clr,D1_vs_D3,0.21227517136777477,-0.30211403157291844,-0.7145074107708383,0.10583951021274512,-0.15020019046316396,-0.3462070846549155,True,1.2970930296422876
none_clr,D1_vs_D7,-0.10261030616091771,-0.709110626691181,-1.379637190886955,-0.051271413686570566,-0.34375209006323704,-0.6164805724130582,False,0.9256251521496383
none_clr,D3_vs_D7,-0.697118291898651,-1.2283524590298787,-3.094309641212638,-0.3382843115398505,-0.5612487287809058,-0.9679263743786657,False,0.7747095886546586
none_clr,Sham_vs_D1,-0.48966083458947623,-0.7608737680685838,-0.8710368924445623,-0.2412156836930844,-0.3671521956932301,-0.41580152094818223,False,0.43784145213959347
none_clr,Sham_vs_D3,-0.4549979323389357,-1.815392156659493,-7.87098019413587,-0.2245929701039069,-0.7526638514349124,-0.8077737020303883,False,0.9421929770985927
