endpoint,composite_label,contrast,hedges_g_sigmoid,g_shrunk_neutral_sigmoid,g_pathological_sigmoid,support_sensitive,hedges_g_raw,g_shrunk_neutral_raw,g_pathological_raw,sigmoid_above,raw_above,headline_overlap_status,sign_agree
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b,Sham_vs_D7,,,False,False,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,D1_vs_D3,1.0881234375730224,0.5065747852620343,False,False,1.3289653487360085,0.5984258519301575,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,D1_vs_D7,1.4450738606087896,0.6391219857458219,False,False,3.73188775884928,0.9975980149398533,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,D3_vs_D7,0.7674744811376021,0.3701120940311827,False,False,2.185825192199364,0.8415989565439004,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,Sham_vs_D1,0.8582729252732241,0.4102488022821635,False,False,0.8469851425598309,0.4053194691637749,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,Sham_vs_D3,1.9515629201118359,0.7881680214810041,False,False,2.1245377850413223,0.8285357960230092,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd140b_cd44,Sham_vs_D7,2.1723630616147234,0.8387841701319202,False,False,4.450803147700837,0.9943248960661725,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,D1_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,activated_stromal_cd44,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,endothelial,D1_vs_D3,-0.1457990353002785,-0.07280279295739824,False,False,0.20493502595107188,0.10219925038763852,False,False,False,both_below,False
vs_sham_mean_delta_lineage_endothelial,endothelial,D1_vs_D7,-0.030432307837803332,-0.015215273215752318,False,False,0.3082907803320116,0.15323514272105151,False,False,False,both_below,False
vs_sham_mean_delta_lineage_endothelial,endothelial,D3_vs_D7,0.2169281879491117,0.10814602408952094,False,False,0.15494027582944694,0.07735407542930903,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,endothelial,Sham_vs_D1,0.641693175293669,0.31279656985837995,False,False,0.6058986860626434,0.2961542102145273,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,endothelial,Sham_vs_D3,0.7303984556035201,0.3534154317145304,False,False,0.9268600572597956,0.43981552061122325,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,endothelial,Sham_vs_D7,1.249014922896165,0.5690260593512289,False,False,0.7753818303548055,0.37365059737781003,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,D1_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,Sham_vs_D1,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,Sham_vs_D3,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,m2_macrophage,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,mixed,D1_vs_D3,0.4570522807069549,0.22558094444284732,False,False,-0.9267848542088633,-0.4397834714700655,False,False,False,both_below,False
vs_sham_mean_delta_lineage_endothelial,mixed,D1_vs_D7,5.156875204556359,,True,False,1.0190230692279632,0.4784592871793395,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,mixed,D3_vs_D7,2.024559651488491,0.8058413209691699,False,False,1.2723257086534574,0.5777123485787279,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,mixed,Sham_vs_D1,-0.036841104639693985,-0.01841898985191356,False,False,-0.3147325691200751,-0.15639801865870992,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,mixed,Sham_vs_D3,0.4092324904221728,0.20249672175423544,False,False,-0.8412152096400363,-0.4027930011113834,False,False,False,both_below,False
vs_sham_mean_delta_lineage_endothelial,mixed,Sham_vs_D7,4.09256205271093,0.9997383823378452,False,False,0.805919828248645,0.38724021769672345,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,D1_vs_D3,2.9645296900626468,0.9567460104982216,False,True,5.561157523783996,0.948063157999494,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,D1_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,D3_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,Sham_vs_D1,1.0222914236702458,0.47980599134517077,False,True,1.619146532960701,0.6955979922937172,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,Sham_vs_D3,11.212127232812916,,True,True,3.997885669172863,0.9999998602262985,False,False,True,raw_only,True
vs_sham_mean_delta_lineage_endothelial,neutrophil,Sham_vs_D7,,,False,True,,,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,D1_vs_D3,0.17691492370734427,0.08828476091361899,False,False,-0.1744424390406974,-0.08705564966139874,False,False,False,both_below,False
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,D1_vs_D7,-0.016971868401851973,-0.008485781433356137,False,False,-0.16490264007924635,-0.08231142723827584,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,D3_vs_D7,-0.5090439171123639,-0.25046557912441686,False,False,-0.04637913103116158,-0.023186448352947444,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,Sham_vs_D1,0.8879125121520733,0.42310791429062566,False,False,1.002952371129738,0.47181346585691863,False,False,False,both_below,True
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,Sham_vs_D3,5.584017163280927,0.946819753674256,False,False,3.0509295222695334,0.9644093295606307,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,non_myeloid_immune,Sham_vs_D7,2.1087821969850014,0.8250740273072865,False,False,0.8395432194828598,0.4020600403061333,False,True,False,sigmoid_only,True
vs_sham_mean_delta_lineage_endothelial,stromal,D1_vs_D3,3.7726762357625687,0.9982907436633676,False,False,2.491462717817994,0.8975257743918217,False,True,True,both_above,True
vs_sham_mean_delta_lineage_endothelial,stromal,D1_vs_D7,0.638948593325443,0.3115254273910009,False,False,0.5974855649616951,0.29222276297886535,False,False,False,both_below,True
