endpoint,contrast,composite_label,hedges_g_sigmoid,hedges_g_raw,family_b_lineage_source_sign_reverse,family_b_lineage_source_magnitude_disagree
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,endothelial,0.641693175293669,0.6058986860626434,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,mixed,-0.036841104639693985,-0.3147325691200751,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,neutrophil,1.0222914236702458,1.619146532960701,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,non_myeloid_immune,0.8879125121520733,1.002952371129738,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,stromal,1.2332646971380028,0.7790804513719537,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D1,unassigned,1.6204617189133703,1.6058724085974219,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_endothelial_cd140b,1.571315977847336,0.6615159222507389,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_endothelial_cd140b_cd44,1.486251521265793,0.07490591988353308,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_endothelial_cd44,0.8686418117039443,0.7270202161170364,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_stromal_cd140b,7.832480318041682,3.508572421446763,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_stromal_cd140b_cd44,1.9515629201118359,2.1245377850413223,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,endothelial,0.7303984556035201,0.9268600572597956,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,mixed,0.4092324904221728,-0.8412152096400363,True,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,neutrophil,11.212127232812916,3.997885669172863,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,non_myeloid_immune,5.584017163280927,3.0509295222695334,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,stromal,4.277551902007548,5.2865750384794445,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D3,unassigned,2.7151871692208633,2.4377061193514686,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_endothelial_cd140b,0.6888469786683803,-0.16470920891329532,True,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_endothelial_cd140b_cd44,1.6373498702368114,1.001502486918536,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_endothelial_cd44,1.7384546916326287,3.327886306653348,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_stromal_cd140b_cd44,2.1723630616147234,4.450803147700837,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,endothelial,1.249014922896165,0.7753818303548055,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,mixed,4.09256205271093,0.805919828248645,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,non_myeloid_immune,2.1087821969850014,0.8395432194828598,False,True
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,stromal,1.2492403006612849,0.8957206121223441,False,False
vs_sham_mean_delta_lineage_endothelial,Sham_vs_D7,unassigned,1.6516727985676243,1.5124640826039362,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_endothelial_cd140b,3.4094610056603427,4.20812201519882,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_endothelial_cd140b_cd44,2.959759144562033,1.9571425718868385,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_endothelial_cd44,2.2061165710023296,1.858255337787628,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_m2_macrophage_cd140b_cd44,-0.6372453754031878,-0.3335240782105589,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_stromal_cd140b,0.6520057003598106,1.1970764911938938,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_stromal_cd140b_cd44,1.4068447754534021,0.8645736212900837,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,endothelial,3.0644387305553273,4.736984067503701,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,mixed,-0.12805767864774023,-0.9239632802188039,False,True
vs_sham_mean_delta_lineage_immune,D1_vs_D3,neutrophil,1.8636608830929837,1.916434457297874,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,non_myeloid_immune,1.5014430190186898,1.0550969493598954,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,stromal,1.9672394369303554,1.6413371339234835,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D3,unassigned,1.4031557431280968,1.5738875248329898,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_endothelial_cd140b,1.0676549558650208,2.939752805359953,False,True
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_endothelial_cd140b_cd44,1.2532134234587946,1.2817207165956495,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_endothelial_cd44,2.716726160208626,2.739292149145065,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_m2_macrophage_cd140b_cd44,1.0708814921670573,0.9430536572763476,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_stromal_cd140b_cd44,6.038385547012951,2.7069998837507208,False,True
vs_sham_mean_delta_lineage_immune,D1_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,endothelial,6.69424610893379,9.962164169758868,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,mixed,1.0786161587705383,0.06450354871136255,False,True
vs_sham_mean_delta_lineage_immune,D1_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,non_myeloid_immune,3.820146534431397,2.4415806523477226,False,False
vs_sham_mean_delta_lineage_immune,D1_vs_D7,stromal,18.04002230260077,3.539063329835867,False,True
vs_sham_mean_delta_lineage_immune,D1_vs_D7,unassigned,1.8938327612707673,2.1468422352871515,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_endothelial_cd140b,0.21318362708886424,1.662210023092054,False,True
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_endothelial_cd140b_cd44,0.6718285914172762,0.7277409495695283,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_endothelial_cd44,1.484766017327735,1.9756710718314558,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_m2_macrophage_cd140b_cd44,1.1547883862835897,1.0366992086624987,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_stromal_cd140b,,,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_stromal_cd140b_cd44,2.3003713638754775,2.4213699321622295,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,endothelial,1.9458197463530715,6.317724716095205,False,True
vs_sham_mean_delta_lineage_immune,D3_vs_D7,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,mixed,1.5265407679403264,0.8904587909697306,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,neutrophil,,,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,non_myeloid_immune,1.371683044485205,1.338890785676421,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,stromal,2.0441125271294984,2.428073696946667,False,False
vs_sham_mean_delta_lineage_immune,D3_vs_D7,unassigned,1.2268701655713272,1.4436502458798715,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_endothelial_cd140b,-0.02804476891701992,1.1850551005287457,True,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_endothelial_cd140b_cd44,0.43676562550462766,0.47547404480336675,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_endothelial_cd44,0.1740870432699264,0.8011496265120408,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_m2_macrophage_cd140b_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_neutrophil_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_stromal_cd140b,0.2802309921031229,0.8108536202971176,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_stromal_cd140b_cd44,-0.09630657619837285,0.6307635189174876,True,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,activated_stromal_cd44,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,endothelial,-0.06199119390974939,0.11725814110713101,True,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,m2_macrophage,,,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,mixed,0.9019042876560274,1.9541238034094472,False,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,neutrophil,0.4128440901442457,0.004285425134641052,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,non_myeloid_immune,0.23946995210263494,0.2758802053391205,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,stromal,-0.04821276654767684,1.5791935745836998,True,True
vs_sham_mean_delta_lineage_immune,Sham_vs_D1,unassigned,0.1301205153461216,0.16621993303356478,False,False
vs_sham_mean_delta_lineage_immune,Sham_vs_D3,activated_endothelial_cd140b,1.1984119006137044,2.676074524966079,False,True
