family,endpoint,contrast,tp1,tp2,n_mice_1,n_mice_2,insufficient_support,mouse_mean_1,mouse_mean_2,mouse_range_1,mouse_range_2,hedges_g,g_shrunk_skeptical,g_shrunk_neutral,g_shrunk_optimistic,pooled_std,g_pathological,bootstrap_range_min,bootstrap_range_max,n_unique_resamples,n_required_80pct,n_required_skeptical,n_required_neutral,n_required_optimistic,normalization_mode,hedges_g_no_none,clr_none_sensitivity,sham_percentile,normalization_sign_reverse,normalization_g_collapse,normalization_magnitude_disagree,hedges_g_sham_ref,endpoint_axis,min_prevalence_sweep_value,headline_rule_version,unassigned_rate_mouse_mean_1,unassigned_rate_mouse_mean_2,composite_label,support_sensitive,cell_type,stratifier_basis,observed_range,threshold_sensitive,headline_demoted_reason,is_headline
A_interface_clr,endothelial_clr,D1_vs_D7,D1,D7,2,2,False,0.3059523199372475,0.20131428834119905,0.17175974433373795,0.2629865693855064,-0.3807181571583167,-0.07505572633504576,-0.1886500702948101,-0.3034748367431829,0.15705360983653704,False,-1.571173516354076,0.17868982015465676,5,109.0,2787.0,442.0,171.0,per_roi_sigmoid,-0.42458823571149673,False,60.0,False,False,False,-0.34415460958480165,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2629865693855064,False,,False
A_interface_clr,endothelial_clr,D3_vs_D7,D3,D7,2,2,False,0.3324039640406903,0.20131428834119905,0.14656633356885534,0.2629865693855064,-0.4976130959523065,-0.09711779994771785,-0.24501465834913957,-0.39564127140707134,0.1505353993359824,False,-2.047501664056223,0.0031471580794789206,5,64.0,1665.0,262.0,101.0,per_roi_sigmoid,-0.538347295328018,False,60.0,False,False,False,-0.420958530142495,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.2629865693855064,False,,False
A_interface_clr,stromal_clr,Sham_vs_D1,Sham,D1,2,2,False,-0.5578103962664359,-0.6458166540690051,0.047568531867127284,0.05576705238008095,-1.3721703135953058,-0.2309496720822201,-0.613848557030302,-1.0483873136443802,0.036649452093982925,False,-2.784308496004962,-1.3161276955391383,5,9.0,295.0,42.0,15.0,per_roi_sigmoid,-3.9721403037850878,False,60.0,False,True,True,-0.21101098968328805,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.05576705238008095,False,,False
A_interface_clr,stromal_clr,Sham_vs_D3,Sham,D3,2,2,False,-0.5578103962664359,-0.7955307617458232,0.047568531867127284,0.1613425326266783,-1.6151385952482942,-0.25619486459853946,-0.6943595055321488,-1.2130027009723896,0.08410436679861613,False,-7.649514003010863,-1.5153995384879249,5,7.0,240.0,33.0,11.0,per_roi_sigmoid,-1.8358333184649065,False,60.0,False,False,False,-1.650598824773983,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.1613425326266783,False,,True
A_interface_clr,stromal_clr,Sham_vs_D7,Sham,D7,2,2,False,-0.5578103962664359,-1.2383795958232384,0.047568531867127284,0.10571971044296058,-6.709249389980912,-0.2439104973721976,-0.8796992663381574,-2.525418299822563,0.05796426140333657,False,-17.62099020364286,-6.709249389980912,5,1.0,264.0,21.0,3.0,per_roi_sigmoid,-7.078646803273296,False,60.0,False,False,True,-3.109756189246017,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.10571971044296058,False,,False
A_interface_clr,stromal_clr,D1_vs_D3,D1,D3,2,2,False,-0.6458166540690051,-0.7955307617458232,0.05576705238008095,0.1613425326266783,-1.0023044042937879,-0.18216075429221992,-0.4715446747747012,-0.7821983361292916,0.08535422802291848,False,-4.721382232648013,-0.8629773439392522,5,16.0,474.0,71.0,26.0,per_roi_sigmoid,-1.0683294865543191,False,60.0,False,False,True,-3.690473660810234,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.1613425326266783,False,,False
A_interface_clr,stromal_clr,D1_vs_D7,D1,D7,2,2,False,-0.6458166540690051,-1.2383795958232384,0.05576705238008095,0.10571971044296058,-5.665805584102968,-0.2691507607982381,-0.9423112225382659,-2.51459607006789,0.05976332760837979,False,-13.226914857526115,-5.665805584102968,5,1.0,217.0,18.0,3.0,per_roi_sigmoid,-6.008261271938794,False,60.0,False,False,False,-4.242079581696882,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.10571971044296058,False,,True
A_interface_clr,stromal_clr,D3_vs_D7,D3,D7,2,2,False,-0.7955307617458232,-1.2383795958232384,0.1613425326266783,0.10571971044296058,-2.6237888415019315,-0.31079687427436925,-0.9172375903695216,-1.7908191108877287,0.09644696730656462,False,-5.659386349565064,-2.6237888415019315,5,3.0,163.0,19.0,5.0,per_roi_sigmoid,-2.5485350165063294,False,60.0,False,False,False,-2.6151379441584455,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.1613425326266783,False,,True
A_interface_clr,endothelial+immune_clr,Sham_vs_D1,Sham,D1,2,2,False,-0.3211993693951987,-0.22041779755063357,0.04543272836498036,0.16348651376641102,0.6787930099841404,0.1297789096016812,0.3298963168307467,0.5368504285663068,0.08484098801608364,False,0.4789074974049999,4.591399455135925,5,35.0,933.0,145.0,55.0,per_roi_sigmoid,0.6413760454566529,False,60.0,False,False,False,0.9261717764390638,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.16348651376641102,False,,True
A_interface_clr,endothelial+immune_clr,Sham_vs_D3,Sham,D3,2,2,False,-0.3211993693951987,-0.10360456095045208,0.04543272836498036,0.11415497674052708,2.024029542336452,0.2871636873571189,0.8057163560838435,1.468793624799944,0.061431855582662426,False,1.9510163146039905,6.909362647962278,5,4.0,191.0,25.0,8.0,per_roi_sigmoid,1.6667584703818061,False,60.0,False,False,False,2.6001072983877105,composite_label_8cat,,v1_dual_normalization_intersection,,,,,,,0.11415497674052708,False,,True
